Date,Exercise,Type,Exercise Calories,Exercise Minutes,Sets,Reps Per Set,Pounds,Steps,Note
2025-03-29,MFP iOS calorie adjustment,Cardio,136.0,1,,,,6412,
2025-03-30,MFP iOS calorie adjustment,Cardio,81.0,1,,,,4049,
2025-03-31,MFP iOS calorie adjustment,Cardio,47.0,1,,,,2546,
2025-04-01,MFP iOS calorie adjustment,Cardio,60.0,1,,,,3195,
2025-04-02,MFP iOS calorie adjustment,Cardio,6.0,1,,,,986,
2025-04-03,MFP iOS calorie adjustment,Cardio,53.0,1,,,,3040,
2025-04-04,MFP iOS calorie adjustment,Cardio,13.0,1,,,,1328,
2025-04-05,MFP iOS calorie adjustment,Cardio,263.0,1,,,,10482,
2025-04-06,MFP iOS calorie adjustment,Cardio,27.0,1,,,,1772,
2025-04-07,MFP iOS calorie adjustment,Cardio,16.0,1,,,,1741,
2025-04-08,MFP iOS calorie adjustment,Cardio,114.0,1,,,,5426,
2025-04-09,MFP iOS calorie adjustment,Cardio,58.0,1,,,,2541,
2025-04-10,MFP iOS calorie adjustment,Cardio,46.0,1,,,,2806,
2025-04-11,MFP iOS calorie adjustment,Cardio,86.0,1,,,,4326,
2025-04-12,MFP iOS calorie adjustment,Cardio,135.0,1,,,,6141,
2025-04-13,MFP iOS calorie adjustment,Cardio,174.0,1,,,,7916,
2025-04-14,MFP iOS calorie adjustment,Cardio,68.0,1,,,,3258,
2025-04-15,MFP iOS calorie adjustment,Cardio,4.0,1,,,,614,
2025-04-16,MFP iOS calorie adjustment,Cardio,3.0,1,,,,800,
2025-04-17,MFP iOS calorie adjustment,Cardio,45.0,1,,,,2450,
2025-04-18,MFP iOS calorie adjustment,Cardio,44.0,1,,,,3013,
2025-04-19,MFP iOS calorie adjustment,Cardio,60.0,1,,,,3480,
2025-04-20,MFP iOS calorie adjustment,Cardio,34.0,1,,,,2360,
2025-04-21,MFP iOS calorie adjustment,Cardio,86.0,1,,,,4419,
2025-04-22,MFP iOS calorie adjustment,Cardio,75.0,1,,,,3731,
2025-04-23,MFP iOS calorie adjustment,Cardio,5.0,1,,,,1109,
2025-04-24,MFP iOS calorie adjustment,Cardio,55.0,1,,,,2746,
2025-04-25,MFP iOS calorie adjustment,Cardio,37.0,1,,,,2557,
2025-04-26,MFP iOS calorie adjustment,Cardio,234.0,1,,,,10027,
2025-04-27,MFP iOS calorie adjustment,Cardio,123.0,1,,,,5771,
2025-04-28,MFP iOS calorie adjustment,Cardio,56.0,1,,,,2674,
2025-04-29,MFP iOS calorie adjustment,Cardio,63.0,1,,,,3168,
2025-04-30,MFP iOS calorie adjustment,Cardio,76.0,1,,,,3668,
2025-05-01,MFP iOS calorie adjustment,Cardio,55.0,1,,,,2669,
2025-05-02,MFP iOS calorie adjustment,Cardio,25.0,1,,,,1798,
2025-05-03,MFP iOS calorie adjustment,Cardio,172.0,1,,,,7930,
2025-05-04,MFP iOS calorie adjustment,Cardio,84.0,1,,,,4715,
2025-05-05,MFP iOS calorie adjustment,Cardio,7.0,1,,,,944,
2025-05-06,MFP iOS calorie adjustment,Cardio,62.0,1,,,,3052,
2025-05-07,MFP iOS calorie adjustment,Cardio,75.0,1,,,,3695,
2025-05-08,MFP iOS calorie adjustment,Cardio,176.0,1,,,,7370,
2025-05-09,MFP iOS calorie adjustment,Cardio,76.0,1,,,,3367,
2025-05-10,MFP iOS calorie adjustment,Cardio,89.0,1,,,,4334,
2025-05-11,MFP iOS calorie adjustment,Cardio,88.0,1,,,,4130,
